"filename", "language", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\divya\trading-simulator\frontend\app\(main)\dashboard\page.tsx", "TypeScript JSX", -127, 0, -8, -29, -164
"c:\Users\divya\trading-simulator\frontend\app\(main)\hooks\useLivePrices.tsx", "TypeScript JSX", -98, 0, -19, -28, -145
"c:\Users\divya\trading-simulator\frontend\app\(main)\layout.tsx", "TypeScript JSX", -23, 0, -6, -3, -32
"c:\Users\divya\trading-simulator\frontend\app\(main)\orders\page.tsx", "TypeScript JSX", -74, 0, -2, -16, -92
"c:\Users\divya\trading-simulator\frontend\app\(main)\portfolio\page.tsx", "TypeScript JSX", -153, 0, -5, -26, -184
"c:\Users\divya\trading-simulator\frontend\app\(main)\profile\page.tsx", "TypeScript JSX", -109, 0, -7, -19, -135
"c:\Users\divya\trading-simulator\frontend\app\(main)\realized-pnl\page.tsx", "TypeScript JSX", -71, 0, 0, -8, -79
"c:\Users\divya\trading-simulator\frontend\app\(main)\stocks\[symbol]\page.tsx", "TypeScript JSX", -64, 0, -7, -15, -86
"c:\Users\divya\trading-simulator\frontend\app\(main)\stocks\page.tsx", "TypeScript JSX", -107, 0, -8, -26, -141
"c:\Users\divya\trading-simulator\frontend\app\(main)\watchlist\page.tsx", "TypeScript JSX", -27, 0, -1, -6, -34
"c:\Users\divya\trading-simulator\frontend\app\(public)\layout.tsx", "TypeScript JSX", -11, 0, -1, -2, -14
"c:\Users\divya\trading-simulator\frontend\app\(public)\login\page.tsx", "TypeScript JSX", -72, 0, -2, -20, -94
"c:\Users\divya\trading-simulator\frontend\app\(public)\page.tsx", "TypeScript JSX", -26, 0, -27, -16, -69
"c:\Users\divya\trading-simulator\frontend\app\auth\callback\page.tsx", "TypeScript JSX", -16, 0, -9, -8, -33
"c:\Users\divya\trading-simulator\frontend\app\auth\debug\page.tsx", "TypeScript JSX", -14, 0, 0, -4, -18
"c:\Users\divya\trading-simulator\frontend\app\globals.css", "PostCSS", 0, -1, 0, 0, -1
"c:\Users\divya\trading-simulator\frontend\app\layout.tsx", "TypeScript JSX", -30, 0, 0, -4, -34
"c:\Users\divya\trading-simulator\frontend\app\theme.css", "PostCSS", 0, -19, -2, -5, -26
"c:\Users\divya\trading-simulator\frontend\components\MarketClock.tsx", "TypeScript JSX", 21, 0, 0, 4, 25
"c:\Users\divya\trading-simulator\frontend\components\Pagination.tsx", "TypeScript JSX", 38, 0, 0, 5, 43
"c:\Users\divya\trading-simulator\frontend\components\ProfileEditForm.tsx", "TypeScript JSX", 165, 0, 11, 26, 202
"c:\Users\divya\trading-simulator\frontend\components\TransactionTable.tsx", "TypeScript JSX", 71, 0, 2, 6, 79
"c:\Users\divya\trading-simulator\frontend\components\chart\MiniSparkline.tsx", "TypeScript JSX", 34, 0, 0, 4, 38
"c:\Users\divya\trading-simulator\frontend\components\chart\Sparkline.tsx", "TypeScript JSX", 45, 0, 3, 9, 57
"c:\Users\divya\trading-simulator\frontend\components\chart\StockMiniChart.tsx", "TypeScript JSX", 63, 0, 5, 13, 81
"c:\Users\divya\trading-simulator\frontend\components\dashboard\Sidebar.tsx", "TypeScript JSX", 35, 0, 0, 10, 45
"c:\Users\divya\trading-simulator\frontend\components\dashboard\StockCard.tsx", "TypeScript JSX", 69, 0, 6, 9, 84
"c:\Users\divya\trading-simulator\frontend\components\dashboard\StockCardSkeleton.tsx", "TypeScript JSX", 10, 0, 0, 1, 11
"c:\Users\divya\trading-simulator\frontend\components\dashboard\StockGrid.tsx", "TypeScript JSX", 51, 0, 2, 9, 62
"c:\Users\divya\trading-simulator\frontend\components\dashboard\StockTable.tsx", "TypeScript JSX", 20, 0, 0, 2, 22
"c:\Users\divya\trading-simulator\frontend\components\dashboard\StockTicker.tsx", "TypeScript JSX", 9, 0, 0, 1, 10
"c:\Users\divya\trading-simulator\frontend\components\layout\Footer.tsx", "TypeScript JSX", 21, 0, 3, 4, 28
"c:\Users\divya\trading-simulator\frontend\components\layout\Navbar.tsx", "TypeScript JSX", 103, 0, 20, 20, 143
"c:\Users\divya\trading-simulator\frontend\components\providers\AppProvider.tsx", "TypeScript JSX", 114, 0, 18, 28, 160
"c:\Users\divya\trading-simulator\frontend\components\providers\BalanceProvider.tsx", "TypeScript JSX", 27, 0, 0, 10, 37
"c:\Users\divya\trading-simulator\frontend\components\providers\ThemeProvider.tsx", "TypeScript JSX", 19, 0, 1, 4, 24
"c:\Users\divya\trading-simulator\frontend\components\providers\ToastProvider.tsx", "TypeScript JSX", 5, 0, 0, 2, 7
"c:\Users\divya\trading-simulator\frontend\components\providers\UserProvider.tsx", "TypeScript JSX", 52, 0, 2, 14, 68
"c:\Users\divya\trading-simulator\frontend\components\skeletons\StockChartSkeleton.tsx", "TypeScript JSX", 5, 0, 0, 1, 6
"c:\Users\divya\trading-simulator\frontend\components\stocks\StockFilterTab.tsx", "TypeScript JSX", 21, 0, 0, 2, 23
"c:\Users\divya\trading-simulator\frontend\components\stocks\StockFilters.tsx", "TypeScript JSX", 28, 0, 0, 3, 31
