"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\divya\trading-simulator\frontend\components\MarketClock.tsx", "TypeScript JSX", 21, 0, 4, 25
"c:\Users\divya\trading-simulator\frontend\components\Pagination.tsx", "TypeScript JSX", 38, 0, 5, 43
"c:\Users\divya\trading-simulator\frontend\components\ProfileEditForm.tsx", "TypeScript JSX", 165, 11, 26, 202
"c:\Users\divya\trading-simulator\frontend\components\TransactionTable.tsx", "TypeScript JSX", 71, 2, 6, 79
"c:\Users\divya\trading-simulator\frontend\components\chart\MiniSparkline.tsx", "TypeScript JSX", 34, 0, 4, 38
"c:\Users\divya\trading-simulator\frontend\components\chart\Sparkline.tsx", "TypeScript JSX", 45, 3, 9, 57
"c:\Users\divya\trading-simulator\frontend\components\chart\StockMiniChart.tsx", "TypeScript JSX", 63, 5, 13, 81
"c:\Users\divya\trading-simulator\frontend\components\dashboard\Sidebar.tsx", "TypeScript JSX", 35, 0, 10, 45
"c:\Users\divya\trading-simulator\frontend\components\dashboard\StockCard.tsx", "TypeScript JSX", 69, 6, 9, 84
"c:\Users\divya\trading-simulator\frontend\components\dashboard\StockCardSkeleton.tsx", "TypeScript JSX", 10, 0, 1, 11
"c:\Users\divya\trading-simulator\frontend\components\dashboard\StockGrid.tsx", "TypeScript JSX", 51, 2, 9, 62
"c:\Users\divya\trading-simulator\frontend\components\dashboard\StockTable.tsx", "TypeScript JSX", 20, 0, 2, 22
"c:\Users\divya\trading-simulator\frontend\components\dashboard\StockTicker.tsx", "TypeScript JSX", 9, 0, 1, 10
"c:\Users\divya\trading-simulator\frontend\components\layout\Footer.tsx", "TypeScript JSX", 21, 3, 4, 28
"c:\Users\divya\trading-simulator\frontend\components\layout\Navbar.tsx", "TypeScript JSX", 103, 20, 20, 143
"c:\Users\divya\trading-simulator\frontend\components\providers\AppProvider.tsx", "TypeScript JSX", 114, 18, 28, 160
"c:\Users\divya\trading-simulator\frontend\components\providers\BalanceProvider.tsx", "TypeScript JSX", 27, 0, 10, 37
"c:\Users\divya\trading-simulator\frontend\components\providers\ThemeProvider.tsx", "TypeScript JSX", 19, 1, 4, 24
"c:\Users\divya\trading-simulator\frontend\components\providers\ToastProvider.tsx", "TypeScript JSX", 5, 0, 2, 7
"c:\Users\divya\trading-simulator\frontend\components\providers\UserProvider.tsx", "TypeScript JSX", 52, 2, 14, 68
"c:\Users\divya\trading-simulator\frontend\components\skeletons\StockChartSkeleton.tsx", "TypeScript JSX", 5, 0, 1, 6
"c:\Users\divya\trading-simulator\frontend\components\stocks\StockFilterTab.tsx", "TypeScript JSX", 21, 0, 2, 23
"c:\Users\divya\trading-simulator\frontend\components\stocks\StockFilters.tsx", "TypeScript JSX", 28, 0, 3, 31
"c:\Users\divya\trading-simulator\frontend\components\stocks\StockSearch.tsx", "TypeScript JSX", 65, 4, 12, 81
"c:\Users\divya\trading-simulator\frontend\components\stocks\StockSorter.tsx", "TypeScript JSX", 23, 0, 3, 26
"c:\Users\divya\trading-simulator\frontend\components\stocks\StocksCardsMobile.tsx", "TypeScript JSX", 72, 0, 6, 78
"c:\Users\divya\trading-simulator\frontend\components\stocks\StocksList.tsx", "TypeScript JSX", 39, 3, 5, 47
"c:\Users\divya\trading-simulator\frontend\components\stocks\StocksTableDesktop.tsx", "TypeScript JSX", 104, 8, 14, 126
"c:\Users\divya\trading-simulator\frontend\components\stocks\WatchlistButton.tsx", "TypeScript JSX", 39, 0, 6, 45
"c:\Users\divya\trading-simulator\frontend\components\trade\BuyModal.tsx", "TypeScript JSX", 68, 0, 13, 81
"c:\Users\divya\trading-simulator\frontend\components\trade\BuySellPanel.tsx", "TypeScript JSX", 117, 4, 22, 143
"c:\Users\divya\trading-simulator\frontend\components\trade\SellModal.tsx", "TypeScript JSX", 68, 0, 13, 81
"c:\Users\divya\trading-simulator\frontend\components\ui\Badge.tsx", "TypeScript JSX", 7, 0, 1, 8
"c:\Users\divya\trading-simulator\frontend\components\ui\Button.tsx", "TypeScript JSX", 19, 0, 2, 21
"c:\Users\divya\trading-simulator\frontend\components\ui\Card.tsx", "TypeScript JSX", 10, 0, 1, 11
"c:\Users\divya\trading-simulator\frontend\components\ui\Container.tsx", "TypeScript JSX", 7, 0, 1, 8
"c:\Users\divya\trading-simulator\frontend\components\ui\NavLink.tsx", "TypeScript JSX", 17, 0, 3, 20
"c:\Users\divya\trading-simulator\frontend\components\ui\ProfileDropDown.tsx", "TypeScript JSX", 113, 11, 20, 144
"c:\Users\divya\trading-simulator\frontend\components\ui\ThemeToggle.tsx", "TypeScript JSX", 13, 1, 2, 16
"Total", "-", 1807, 104, 311, 2222
