"filename", "language", "JSON", "JavaScript", "Prisma", "MS SQL", "Docker", "comment", "blank", "total"
"c:\Users\divya\trading-simulator\backend\Dockerfile", "Docker", 0, 0, 0, 0, 9, 9, 9, 27
"c:\Users\divya\trading-simulator\backend\nodemon.json", "JSON", 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\divya\trading-simulator\backend\package-lock.json", "JSON", 2667, 0, 0, 0, 0, 0, 1, 2668
"c:\Users\divya\trading-simulator\backend\package.json", "JSON", 41, 0, 0, 0, 0, 0, 1, 42
"c:\Users\divya\trading-simulator\backend\prisma\migrations\20251105141608_init_public\migration.sql", "MS SQL", 0, 0, 0, 26, 0, 3, 6, 35
"c:\Users\divya\trading-simulator\backend\prisma\migrations\20251106140527_user_model\migration.sql", "MS SQL", 0, 0, 0, 10, 0, 3, 4, 17
"c:\Users\divya\trading-simulator\backend\prisma\migrations\20251110180047_database_update\migration.sql", "MS SQL", 0, 0, 0, 7, 0, 14, 4, 25
"c:\Users\divya\trading-simulator\backend\prisma\migrations\20251110210129_transacation_model_update\migration.sql", "MS SQL", 0, 0, 0, 3, 0, 1, 1, 5
"c:\Users\divya\trading-simulator\backend\prisma\migrations\20251110212055_add_precision_realized_pnl\migration.sql", "MS SQL", 0, 0, 0, 1, 0, 7, 1, 9
"c:\Users\divya\trading-simulator\backend\prisma\migrations\20251111105630_fix_decimal_precision_all\migration.sql", "MS SQL", 0, 0, 0, 3, 0, 8, 1, 12
"c:\Users\divya\trading-simulator\backend\prisma\migrations\20251111110012_make_realized_pnl_optional\migration.sql", "MS SQL", 0, 0, 0, 1, 0, 1, 1, 3
"c:\Users\divya\trading-simulator\backend\prisma\migrations\20251112054849_add_profile_fields\migration.sql", "MS SQL", 0, 0, 0, 8, 0, 8, 2, 18
"c:\Users\divya\trading-simulator\backend\prisma\migrations\20251112055158_add_updatedat_optional\migration.sql", "MS SQL", 0, 0, 0, 1, 0, 1, 1, 3
"c:\Users\divya\trading-simulator\backend\prisma\migrations\20251112055241_make_updatedat_required\migration.sql", "MS SQL", 0, 0, 0, 1, 0, 7, 1, 9
"c:\Users\divya\trading-simulator\backend\prisma\schema.prisma", "Prisma", 0, 0, 50, 0, 0, 11, 18, 79
"c:\Users\divya\trading-simulator\backend\src\app.js", "JavaScript", 0, 62, 0, 0, 0, 8, 15, 85
"c:\Users\divya\trading-simulator\backend\src\config\env.js", "JavaScript", 0, 24, 0, 0, 0, 3, 5, 32
"c:\Users\divya\trading-simulator\backend\src\config\socket.js", "JavaScript", 0, 24, 0, 0, 0, 2, 9, 35
"c:\Users\divya\trading-simulator\backend\src\controllers\portfolio.controller.js", "JavaScript", 0, 13, 0, 0, 0, 0, 5, 18
"c:\Users\divya\trading-simulator\backend\src\controllers\trade.controller.js", "JavaScript", 0, 168, 0, 0, 0, 169, 73, 410
"c:\Users\divya\trading-simulator\backend\src\controllers\transaction.controller.js", "JavaScript", 0, 180, 0, 0, 0, 16, 49, 245
"c:\Users\divya\trading-simulator\backend\src\controllers\user.controller.js", "JavaScript", 0, 89, 0, 0, 0, 5, 22, 116
"c:\Users\divya\trading-simulator\backend\src\controllers\watchlist.controller.js", "JavaScript", 0, 66, 0, 0, 0, 1, 26, 93
"c:\Users\divya\trading-simulator\backend\src\middlewares\auth.middleware.js", "JavaScript", 0, 29, 0, 0, 0, 2, 8, 39
"c:\Users\divya\trading-simulator\backend\src\middlewares\error.middleware.js", "JavaScript", 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\divya\trading-simulator\backend\src\middlewares\socketAuth.middleware.js", "JavaScript", 0, 13, 0, 0, 0, 1, 4, 18
"c:\Users\divya\trading-simulator\backend\src\routes\market.routes.js", "JavaScript", 0, 7, 0, 0, 0, 0, 4, 11
"c:\Users\divya\trading-simulator\backend\src\routes\portfolio.routes.js", "JavaScript", 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\divya\trading-simulator\backend\src\routes\trade.routes.js", "JavaScript", 0, 8, 0, 0, 0, 2, 3, 13
"c:\Users\divya\trading-simulator\backend\src\routes\transaction.routes.js", "JavaScript", 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\divya\trading-simulator\backend\src\routes\user.routes.js", "JavaScript", 0, 9, 0, 0, 0, 4, 6, 19
"c:\Users\divya\trading-simulator\backend\src\routes\watchlist.routes.js", "JavaScript", 0, 16, 0, 0, 0, 1, 8, 25
"c:\Users\divya\trading-simulator\backend\src\server.js", "JavaScript", 0, 28, 0, 0, 0, 17, 12, 57
"c:\Users\divya\trading-simulator\backend\src\services\priceEngine.js", "JavaScript", 0, 476, 0, 0, 0, 176, 60, 712
"c:\Users\divya\trading-simulator\backend\src\services\priceStorage.js", "JavaScript", 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\divya\trading-simulator\backend\src\storage\prices.json", "JSON", 25378, 0, 0, 0, 0, 0, 0, 25378
"c:\Users\divya\trading-simulator\backend\src\utils\ApiError.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\divya\trading-simulator\backend\src\utils\db.js", "JavaScript", 0, 10, 0, 0, 0, 2, 4, 16
"c:\Users\divya\trading-simulator\backend\src\utils\marketTimes.js", "JavaScript", 0, 3, 0, 0, 0, 11, 5, 19
"c:\Users\divya\trading-simulator\backend\src\utils\supabaseClient.js", "JavaScript", 0, 28, 0, 0, 0, 1, 6, 35
"c:\Users\divya\trading-simulator\backend\src\websocket\stockTicker.js", "JavaScript", 0, 8, 0, 0, 0, 3, 4, 15
"Total", "-", 28106, 1307, 50, 61, 9, 497, 393, 30423
